Gender,Reps,Year,Time Format,AP/JC,FF/PR/PB,HR/FR,Exercise
Male,130,2019,2 MINUTES,AP,FF,HR,2
Male,119,2017,2 MINUTES,AP,FF,HR,2
Male,111,2017,2 MINUTES,AP,FF,HR,2
Male,107,2018,2 MINUTES,AP,FF,HR,2
Male,105,2019,2 MINUTES,AP,FF,HR,2
Male,103,2019,2 MINUTES,AP,FF,HR,2
Male,103,2016,2 MINUTES,AP,FF,HR,2
Male,100,2018,2 MINUTES,AP,FF,HR,2
Male,100,2018,2 MINUTES,AP,FF,HR,2
Male,99,2018,2 MINUTES,AP,FF,HR,2
Male,99,2015,2 MINUTES,AP,PR,HR,2
Male,96,2018,2 MINUTES,AP,FF,HR,2
Male,96,2016,2 MINUTES,AP,FF,HR,2
Male,96,2016,2 MINUTES,AP,FF,HR,2
Male,96,2015,2 MINUTES,AP,PR,HR,2
Male,95,2019,2 MINUTES,AP,FF,HR,2
Male,94,2019,2 MINUTES,AP,FF,HR,2
Male,94,2018,2 MINUTES,AP,FF,HR,2
Male,94,2017,2 MINUTES,AP,FF,HR,2
Male,93,2017,2 MINUTES,AP,FF,HR,2
Male,92,2018,2 MINUTES,AP,FF,HR,2
Male,91,2018,2 MINUTES,AP,FF,HR,2
Male,91,2017,2 MINUTES,AP,FF,HR,2
Male,90,2016,2 MINUTES,AP,FF,HR,2
Male,89,2018,2 MINUTES,AP,FF,HR,2
Male,89,2017,2 MINUTES,AP,FF,HR,2
Male,88,2019,2 MINUTES,AP,FF,HR,2
Male,88,2018,2 MINUTES,AP,FF,HR,2
Male,88,2017,2 MINUTES,AP,FF,HR,2
Male,87,2017,2 MINUTES,AP,FF,HR,2
Male,86,2018,2 MINUTES,AP,FF,HR,2
Male,86,2016,2 MINUTES,AP,FF,HR,2
Male,85,2019,2 MINUTES,AP,FF,HR,2
Male,85,2019,2 MINUTES,AP,FF,HR,2
Male,85,2018,2 MINUTES,AP,FF,HR,2
Male,85,2017,2 MINUTES,AP,FF,HR,2
Male,85,2017,2 MINUTES,AP,FF,HR,2
Male,84,2019,2 MINUTES,AP,FF,HR,2
Male,84,2019,2 MINUTES,AP,FF,HR,2
Male,84,2019,2 MINUTES,AP,FF,HR,2
Male,84,2018,2 MINUTES,AP,FF,HR,2
Male,84,2017,2 MINUTES,AP,FF,HR,2
Male,83,2018,2 MINUTES,AP,FF,HR,2
Male,83,2018,2 MINUTES,AP,FF,HR,2
Male,82,2019,2 MINUTES,AP,FF,HR,2
Female,82,2019,2 MINUTES,AP,FF,HR,2
Male,81,2017,2 MINUTES,AP,FF,HR,2
Male,80,2018,2 MINUTES,AP,FF,HR,2
Male,80,2018,2 MINUTES,AP,FF,HR,2
